,rating,reviewContent,clean_reviewContent
0,1,bima,bima
1,1,baru 10 bulan layarnya dah bergaris,baru bulan layar sudah gar
2,1,"Mau tanya ini cicilnya pake apa ya,cc bkn?",mau tanya ini cicil pakai apa ya cc bukan
3,1,"Bagaimana tv LED saya merek Sharp 24 hitam LC 24LE170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya ,, so,alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih!!!",bagaimana televisi led saya merek sharp hitam lc lei sekarang mati total baru bulan mana saya harus hubung dan minta bantu mohon bijak dan solusi jadi alnya masih garansi kepada pihak lazada saya mohon bantu terimakasih
4,4,Pengn tivinya,pengn tivinya
5,1,"Laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau, namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat? Di judul dikatakan core i7",laptop ini milik spesifikasi yang bagus dan harga yang jangkau namun pada tab spesifikasi utama produk itu emang intel core atau salah buat di judul kata core
6,4,Barang diterima dengan kondisi yang baik tapi packagingnya kurang,terima dengan kondisi yang baik tapi packagingnya kurang
7,1,kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe,kapasitasy kurang bagusss aturany kalau kosong tidak bnyakkk firusss tapi nieh bnyakkk firusss sangat kecewe
8,5,bagus,bagus
9,2,"pengiriman sangat lama, tgl 19 di pesan, tgl 22 barang baru dikemas, tgl 23 baru diambil ekspedisi, tgl 25 baru sampai. Masih dijabotabek tapi lama.",kirim sangat lama tanggal di pesan tanggal baru kemas tanggal baru ambil ekspedisi tanggal baru sampai masih dijabotabek tapi lama
